,url,text,x,y
0,https://rectangle.design,"We write software, build tools, create archives + design interfaces. Outcomes encompass the physical and digital. Computation is central, but not always visible",-5.7825527,8.140783
1,https://rulesrulesrules.studio,RRR is a multi-disciplinary digital design and software development studio.,-4.5188966,7.6871667
2,https://bus.group,BUS is a Berlin-based design practice founded by Manuel Birnbacher and Daniel Schnitterbaum,-7.3329663,8.834833
3,https://rndr.studio,"RNDR designs and codes the future, by transforming data into information, information into knowledge, and knowledge into narratives.",-7.7738595,6.3824725
4,https://veravandeseyp.com,"Vera van de Seyp is a designer / creative coder working across disciplines on great things, based in the Netherlands.",-6.533618,4.9176188
5,http://www.fredericbrodbeck.de,Frederic Brodbeck is a digital designer and developer.,-4.7073765,5.348602
6,http://nodeberlin.com,NODE is a Berlin and Oslo based design studio.,-4.917687,7.9567075
7,https://www.onformative.com,"Interactive media installations, generative design and data-driven narratives, at the intersection of art, design and technology.",-5.4671683,10.779799
8,https://studiomoniker.com,Moniker is an Amsterdam based interactive design studio by Luna Maurer &amp; Roel Wouters.,-3.56909,6.494926
9,http://waltzbinaire.com,studio for human motion in digital design,-10.134498,7.844406
10,https://klimaiteklimaite.com,Berlin based collaborative graphic design studio run by sisters Indrė &amp; Laura Klimaitė,-7.8716993,11.173767
11,https://martinwecke.de,Creative direction &amp; development. Specialized in creating web-based experiences and interactive design systems. Based in Berlin.,-4.3668084,6.062108
12,http://rlon.com,rlon is a design and concept studio from Berlin. We create objects and develop narratives for curious spaces and curious minds.,-5.8046694,8.424008
13,http://hatebranding.com,We hate branding that hides behind the empty words. Good design speaks for itself.,-7.2025228,8.744797
14,http://brockkenzler.com,"Personal projects by Brock Kenzler, an Australian digital designer.",-6.445397,8.0961075
15,http://stephdavidson.com,"Graphic design, art direction, illustration and motion graphics",-8.830625,5.3535805
16,http://www.mantissa.ca,mantissa website,-6.1671267,5.226757
17,https://www.linkedbyair.net,"<br><br> Linked by Air is a design and technology firm. We integrate strategy, user experience, interaction and visual design, and software development to create design systems and build digital p...",-9.109737,5.3926773
18,https://trauminc.com,NEW IMAGES FOR A NEW WORLD,-2.4103088,7.4895444
19,http://pointer.click,.,-5.6051345,6.857809
20,http://catk.de,"CATK is an interdisciplinary design studio, based in Berlin, Germany",-5.268372,10.547432
21,http://www.ok-rm.co.uk,"A London-based design studio working in the fields of art, culture and commerce.",-5.393678,8.034063
22,https://sehsucht.de,"We are a hybrid production studio, merging the arts of filmmaking, animation and visual effects to produce captivating creative content.",-6.1030216,7.7283425
23,https://futurecorp.london,"Future Corp create digital experiences, platforms and tools for culture and the people defining it. Based in London and Paris",-5.9221654,7.3837037
24,https://www.therodina.com,...,-4.1872234,9.589622
26,https://no-plans.com,"No Plans is is a digital creative studio. We design touchpoints to connect businesses and individuals in culture, design and fashion to their audience.",-5.5307603,8.706419
27,https://momentfactory.com,Moment Factory is a multimedia entertainment studio specializing in the conception and production of immersive environments.,-4.1227703,11.792567
