url,text
https://rectangle.design,"We write software, build tools, create archives + design interfaces. Outcomes encompass the physical and digital. Computation is central, but not always visible"
https://rulesrulesrules.studio,RRR is a multi-disciplinary digital design and software development studio.
https://bus.group,BUS is a Berlin-based design practice founded by Manuel Birnbacher and Daniel Schnitterbaum
https://rndr.studio,"RNDR designs and codes the future, by transforming data into information, information into knowledge, and knowledge into narratives."
https://veravandeseyp.com,"Vera van de Seyp is a designer / creative coder working across disciplines on great things, based in the Netherlands."
http://www.fredericbrodbeck.de,Frederic Brodbeck is a digital designer and developer.
http://nodeberlin.com,NODE is a Berlin and Oslo based design studio.
https://www.onformative.com,"Interactive media installations, generative design and data-driven narratives, at the intersection of art, design and technology."
https://studiomoniker.com,Moniker is an Amsterdam based interactive design studio by Luna Maurer &amp; Roel Wouters.
http://waltzbinaire.com,studio for human motion in digital design
https://klimaiteklimaite.com,Berlin based collaborative graphic design studio run by sisters Indrė &amp; Laura Klimaitė
https://martinwecke.de,Creative direction &amp; development. Specialized in creating web-based experiences and interactive design systems. Based in Berlin.
http://rlon.com,rlon is a design and concept studio from Berlin. We create objects and develop narratives for curious spaces and curious minds.
http://hatebranding.com,We hate branding that hides behind the empty words. Good design speaks for itself.
http://brockkenzler.com,"Personal projects by Brock Kenzler, an Australian digital designer."
http://stephdavidson.com,"Graphic design, art direction, illustration and motion graphics"
http://www.mantissa.ca,mantissa website
https://www.linkedbyair.net,"<br><br> Linked by Air is a design and technology firm. We integrate strategy, user experience, interaction and visual design, and software development to create design systems and build digital p..."
https://trauminc.com,NEW IMAGES FOR A NEW WORLD
http://pointer.click,.
http://catk.de,"CATK is an interdisciplinary design studio, based in Berlin, Germany"
http://www.ok-rm.co.uk,"A London-based design studio working in the fields of art, culture and commerce."
https://sehsucht.de,"We are a hybrid production studio, merging the arts of filmmaking, animation and visual effects to produce captivating creative content."
https://futurecorp.london,"Future Corp create digital experiences, platforms and tools for culture and the people defining it. Based in London and Paris"
https://www.therodina.com,...
https://koosbreen.com,
https://no-plans.com,"No Plans is is a digital creative studio. We design touchpoints to connect businesses and individuals in culture, design and fashion to their audience."
https://momentfactory.com,Moment Factory is a multimedia entertainment studio specializing in the conception and production of immersive environments.
http://www.syedrezaali.com,"Generative, Computational Design, UI, GUI, Minimal, Modern, Art, Photography, Beauty, Visual, Spatial, Architecture, New Media, Interactive, Installations, Computer Graphics, Graphic Design, openFrameworks, Processing, Cinder, Creative Coding"
http://www.teyosh.com,TeYosh is a multidisciplinary design duo specialized in art direction and animation. Their narratives often focus on digital media in a social context.
https://sansho.studio,situative design &amp; development in Berlin
http://wangsoderstrom.com,Wang &amp; Söderström is a Copenhagen / Malmö based art and design practice with a focus on digital / physical explorations and fabrication.
http://thekids.eu,The world of rapid change is our paradise. The future is not so scary when you have the right ideas. Kids is a creative agency based in Berlin. Let's talk.
http://studioscholz.info,"Studio Scholz is the online and offline practice of graphic designer Robin Scholz. After graduating from the Gerrit Rietveld Academie in Amsterdam and working at Zak Group in London, he is currently living and working in Munich, Germany."
http://thedesignoffice.org,"A shared workspace for designers in downtown Providence, R.I."
https://www.vmragona.com,"I'm a London based Graphic Designer. Working across, Branding Design, Editorial Design, Digital Design Motion Design and much more."
http://samtripp.com,Sam Tripp. Design &amp; Code. Based in London. Co-founder of Common Works.
https://commonworks.co.uk,"Creating meaningful, lasting experiences through playful interactions and rigorous design thinking."
http://variable.io,"Variable is a generative design and data visualisation studio based in London, UK. We blend design, software and aesthetics emerging from data, processes and human behaviour."
