,url,text,x,y
0,https://rectangle.design,"We write software, build tools, create archives + design interfaces. Outcomes encompass the physical and digital. Computation is central, but not always visible",18.63073,2.556959
1,https://rulesrulesrules.studio,RRR is a multi-disciplinary digital design and software development studio.,20.888586,3.9379334
2,https://bus.group,BUS is a Berlin-based design practice founded by Manuel Birnbacher and Daniel Schnitterbaum,19.848581,4.0024147
3,https://rndr.studio,"RNDR designs and codes the future, by transforming data into information, information into knowledge, and knowledge into narratives.",18.716091,1.5017319
4,https://veravandeseyp.com,"Vera van de Seyp is a designer / creative coder working across disciplines on great things, based in the Netherlands.",20.604055,2.426597
5,http://www.fredericbrodbeck.de,Frederic Brodbeck is a digital designer and developer.,22.234207,2.48601
6,http://nodeberlin.com,NODE is a Berlin and Oslo based design studio.,21.51632,2.700266
7,https://www.onformative.com,"Interactive media installations, generative design and data-driven narratives, at the intersection of art, design and technology.",19.066,1.0962812
8,https://studiomoniker.com,Moniker is an Amsterdam based interactive design studio by Luna Maurer &amp; Roel Wouters.,18.673368,0.9800198
9,http://waltzbinaire.com,studio for human motion in digital design,21.126795,1.509942
10,https://klimaiteklimaite.com,Berlin based collaborative graphic design studio run by sisters Indrė &amp; Laura Klimaitė,17.431435,2.185666
11,https://martinwecke.de,Creative direction &amp; development. Specialized in creating web-based experiences and interactive design systems. Based in Berlin.,20.362925,2.9527307
12,http://rlon.com,rlon is a design and concept studio from Berlin. We create objects and develop narratives for curious spaces and curious minds.,18.820576,1.531289
13,http://hatebranding.com,We hate branding that hides behind the empty words. Good design speaks for itself.,20.52842,3.9438195
14,http://brockkenzler.com,"Personal projects by Brock Kenzler, an Australian digital designer.",21.283669,3.1305456
15,http://stephdavidson.com,"Graphic design, art direction, illustration and motion graphics",20.335262,2.2775216
16,http://www.mantissa.ca,mantissa website,22.539907,3.2684832
17,https://www.linkedbyair.net,"<br><br> Linked by Air is a design and technology firm. We integrate strategy, user experience, interaction and visual design, and software development to create design systems and build digital p...",18.260698,2.8464885
18,https://trauminc.com,NEW IMAGES FOR A NEW WORLD,21.001001,3.0592334
19,http://pointer.click,.,21.847498,2.9622116
20,http://catk.de,"CATK is an interdisciplinary design studio, based in Berlin, Germany",21.431059,2.201392
21,http://www.ok-rm.co.uk,"A London-based design studio working in the fields of art, culture and commerce.",19.303396,3.591409
22,https://sehsucht.de,"We are a hybrid production studio, merging the arts of filmmaking, animation and visual effects to produce captivating creative content.",19.339344,2.2055953
23,https://futurecorp.london,"Future Corp create digital experiences, platforms and tools for culture and the people defining it. Based in London and Paris",19.664051,3.6224346
24,https://www.therodina.com,...,22.08397,2.882752
26,https://no-plans.com,"No Plans is is a digital creative studio. We design touchpoints to connect businesses and individuals in culture, design and fashion to their audience.",19.87071,1.8904438
27,https://momentfactory.com,Moment Factory is a multimedia entertainment studio specializing in the conception and production of immersive environments.,19.452068,0.9000605
28,http://www.syedrezaali.com,"Generative, Computational Design, UI, GUI, Minimal, Modern, Art, Photography, Beauty, Visual, Spatial, Architecture, New Media, Interactive, Installations, Computer Graphics, Graphic Design, openFrameworks, Processing, Cinder, Creative Coding",18.21599,2.010607
29,http://www.teyosh.com,TeYosh is a multidisciplinary design duo specialized in art direction and animation. Their narratives often focus on digital media in a social context.,21.451939,3.446166
30,https://sansho.studio,situative design &amp; development in Berlin,17.709621,3.321665
31,http://wangsoderstrom.com,Wang &amp; Söderström is a Copenhagen / Malmö based art and design practice with a focus on digital / physical explorations and fabrication.,18.585697,3.1363661
32,http://thekids.eu,The world of rapid change is our paradise. The future is not so scary when you have the right ideas. Kids is a creative agency based in Berlin. Let's talk.,19.444206,3.0370417
33,http://studioscholz.info,"Studio Scholz is the online and offline practice of graphic designer Robin Scholz. After graduating from the Gerrit Rietveld Academie in Amsterdam and working at Zak Group in London, he is currently living and working in Munich, Germany.",22.567251,2.5798929
34,http://thedesignoffice.org,"A shared workspace for designers in downtown Providence, R.I.",19.215452,3.493435
35,https://www.vmragona.com,"I'm a London based Graphic Designer. Working across, Branding Design, Editorial Design, Digital Design Motion Design and much more.",20.712412,1.566466
36,http://samtripp.com,Sam Tripp. Design &amp; Code. Based in London. Co-founder of Common Works.,18.866512,3.376176
37,https://commonworks.co.uk,"Creating meaningful, lasting experiences through playful interactions and rigorous design thinking.",21.129614,1.266314
38,http://variable.io,"Variable is a generative design and data visualisation studio based in London, UK. We blend design, software and aesthetics emerging from data, processes and human behaviour.",20.208801,3.0723002
39,http://sucukundbratwurst.tumblr.com,"Sucuk &amp; Bratwurst, co-founded by Alessandro Belliero, David Gönner, Denis &amp; Lukas Olgac, is a Mainz based creative studio specialized in 3d design, art direction and graphic design. Feel free to get...",17.273705,3.5004728
40,http://www.playlab.org,"PlayLab is a New York based creative practice founded in 2009. With no particular focus, we explore themes using art, architecture, and graphic design to initiate ideas.",18.650076,1.961017
41,https://n-e-r-v-o-u-s.com,"Nervous System is a design studio that works at the intersection of science, art, and technology. We create using a novel process that employs computer simulation to generate designs and digital fabrication to realize products. Drawing inspiration from natural phenomena, we write computer programs mimicking processes and patterns found in nature and use those programs to create unique and affordable art, jewelry, and housewares.",20.244326,2.4892612
42,https://www.unmade.com,We enable customizable design through industrial manufacturing.,21.985712,2.2041996
43,https://marco.land,Berlin based designer and developer.,18.36597,4.8160186
44,https://dow-smith.com,"A web design and development practice. We work with creative businesses, organisations and individuals to design and produce unique, engaging web-based experiences.",20.778053,2.2138298
45,http://www.thibault.io,"Thibault Brevet is an interaction designer working at the crossing between art, design and technology.",20.931038,1.1019335
46,https://www.zeitguised.com,"Exquisite Realities. (0% organic).  The exquisite realities of ZEITGUISED are crafted as a unique blend of tantalizing design, acute art, handmade algorithms and bespoke generative processes.",21.080849,2.0772238
47,https://newnow.cool,Design and Code from the Boys Next Door,18.078754,2.678584
48,https://noservice.today,"We advise organizations on the strategic communication of their brands and develop bold campaigns with a focus on social media. Using facts, intuition and creativity we blend science with art.",21.758148,2.8885648
49,https://portfolio.amir.cloud,Highlighted projects by amir houieh.,18.45711,3.2834313
